No,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,Manufacture Date
709,Renault Duster Petrol RXS CVT,8.81 Lakh,"21,000 kms",Petrol,Automatic,1st Owner,2018,2755 cc,5 Seats,"April 10, 2018"
710,Toyota Fortuner 2.8 2WD AT,29.29 Lakh,"59,000 kms",Diesel,Automatic,2nd Owner,2017,1199 cc,7 Seats,"April 27, 2017"
711,Honda Jazz 1.2 VX i VTEC,5.50 Lakh,"48,230 kms",Petrol,Manual,1st Owner,2017,998 cc,5 Seats,"March 26, 2017"
712,Maruti Wagon R VXI,3.15 Lakh,"69,240 kms",Petrol,Manual,1st Owner,2013,2184 cc,5 Seats,"June 08, 2013"
713,Mahindra Thar LX 4-Str Convert Top Diesel AT,17.40 Lakh,"18,000 kms",Diesel,Automatic,1st Owner,2021,1497 cc,4 Seats,"October 15, 2021"
714,Honda City i VTEC CVT VX,5.95 Lakh,"79,000 kms",Petrol,Automatic,1st Owner,2014,1798 cc,5 Seats,"October 22, 2014"
715,Toyota Corolla Altis G,3.50 Lakh,"1,09,100 kms",Petrol,Manual,2nd Owner,2011,1373 cc,5 Seats,"October 13, 2011"
716,Maruti Ertiga BSIV VXI,6.85 Lakh,"33,000 kms",Petrol,Manual,1st Owner,2016,1197 cc,7 Seats,"July 09, 2016"
717,Hyundai i20 Asta Opt,10 Lakh,900 kms,Petrol,Manual,1st Owner,2022,1591 cc,5 Seats,"February 23, 2022"
718,Hyundai Creta 1.6 VTVT S,7.65 Lakh,"49,000 kms",Petrol,Manual,1st Owner,2016,1497 cc,5 Seats,"September 03, 2016"
719,Honda City i VTEC V,5.80 Lakh,"55,000 kms",Petrol,Manual,1st Owner,2015,998 cc,5 Seats,"December 23, 2015"
720,Maruti Baleno RS 1.0 Petrol,6.36 Lakh,"17,700 kms",Petrol,Manual,2nd Owner,2017,3956 cc,5 Seats,"July 08, 2017"
721,Toyota prado VX A/T,13.50 Lakh,"90,000 kms",Petrol,Automatic,3rd Owner,2007,1061 cc,8 Seats,"January 19, 2007"
722,Maruti Wagon R LXI DUO BSIII,1.80 Lakh,"55,700 kms",Lpg,Manual,3rd Owner,2009,1799 cc,5 Seats,"October 11, 2009"
723,Honda Civic 1.8 V AT,1.99 Lakh,"1,02,000 kms",Petrol,Automatic,2nd Owner,2009,1497 cc,5 Seats,"May 19, 2009"
724,Honda City 1.5 V MT,2.75 Lakh,"1,01,000 kms",Petrol,Manual,1st Owner,2010,1995 cc,5 Seats,"April 01, 2010"
725,BMW 5 Series 520d Luxury Line,22 Lakh,"72,000 kms",Diesel,Automatic,1st Owner,2015,1197 cc,5 Seats,"March 02, 2015"
726,Hyundai Grand i10 Nios AMT Sportz,6.75 Lakh,"39,000 kms",Petrol,Automatic,1st Owner,2020,998 cc,5 Seats,"August 10, 2020"
