No,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,Manufacture Date
0,Jeep Compass 2.0 Longitude Option BSIV,10.03 Lakh,"86,226 kms",Diesel,Manual,1st Owner,2017,1956 cc,5 Seats,"July 23, 2017"
1,Renault Duster RXZ Turbo CVT,12.83 Lakh,"13,248 kms",Petrol,Automatic,1st Owner,2021,1330 cc,5 Seats,"March 03, 2021"
2,Toyota Camry 2.5 G,16.40 Lakh,"60,343 kms",Petrol,Automatic,1st Owner,2016,2494 cc,5 Seats,"October 11, 2016"
3,Honda Jazz VX CVT,7.77 Lakh,"26,696 kms",Petrol,Automatic,1st Owner,2018,1199 cc,5 Seats,"April 26, 2018"
4,Volkswagen Polo 1.2 MPI Highline,5.15 Lakh,"69,414 kms",Petrol,Manual,1st Owner,2016,1199 cc,5 Seats,"September 15, 2016"
5,Volkswagen Vento 1.2 TSI Highline AT,7.66 Lakh,"49,719 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats,"December 13, 2017"
6,Volkswagen Vento 1.2 TSI Highline Plus AT,7.58 Lakh,"43,688 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats,"April 01, 2017"
7,Honda WR-V VX Diesel,11.60 Lakh,"14,470 kms",Diesel,Manual,1st Owner,2021,1498 cc,5 Seats,"January 19, 2021"
8,Honda City i VTEC CVT SV,6.99 Lakh,"21,429 kms",Petrol,Automatic,1st Owner,2015,1497 cc,5 Seats,"August 17, 2015"
9,Renault Duster Petrol RXS CVT,7.53 Lakh,"31,750 kms",Petrol,Automatic,1st Owner,2017,1498 cc,5 Seats,"June 09, 2017"
10,Maruti Baleno 1.2 Alpha,6.43 Lakh,"38,203 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,"March 17, 2017"
11,Honda City i VTEC CVT SV,5.43 Lakh,"1,10,284 kms",Petrol,Automatic,1st Owner,2014,1497 cc,5 Seats,"June 05, 2014"
12,Mahindra XUV300 W6,8.62 Lakh,"10,381 kms",Petrol,Manual,1st Owner,2020,1197 cc,5 Seats,"April 24, 2020"
13,Jeep Compass 1.4 Limited Plus BSIV,16.78 Lakh,"32,378 kms",Petrol,Automatic,1st Owner,2019,1368 cc,5 Seats,"June 02, 2019"
14,Honda City V MT,10.03 Lakh,"38,906 kms",Petrol,Manual,1st Owner,2020,1498 cc,5 Seats,"October 06, 2020"
15,Hyundai Grand i10 AT Asta,5.63 Lakh,"59,313 kms",Petrol,Automatic,2nd Owner,2016,1197 cc,5 Seats,"June 15, 2016"
16,Hyundai i20 1.4 Asta,6.67 Lakh,"85,672 kms",Diesel,Manual,1st Owner,2017,1396 cc,5 Seats,"May 09, 2017"
17,Maruti Ciaz 1.4 Delta,6.73 Lakh,"34,971 kms",Petrol,Manual,2nd Owner,2017,1373 cc,5 Seats,"April 11, 2017"
18,Nissan Micra XL Optional,3.21 Lakh,"35,894 kms",Petrol,Manual,2nd Owner,2015,1198 cc,5 Seats,"February 19, 2015"
19,Maruti Ciaz Alpha Automatic BSIV,8.50 Lakh,"56,000 kms",Petrol,Automatic,1st Owner,2019,1462 cc,5 Seats,"January 19, 2019"
20,Maruti Swift Dzire VXI,4.34 Lakh,"56,568 kms",Petrol,Manual,1st Owner,2014,1197 cc,5 Seats,"March 24, 2014"
21,Renault KWID RXT,3.11 Lakh,"48,872 kms",Petrol,Manual,1st Owner,2017,799 cc,5 Seats,"May 20, 2017"
22,Renault KWID RXL BSIV,3.70 Lakh,"17,346 kms",Petrol,Manual,1st Owner,2019,799 cc,5 Seats,"January 28, 2019"
23,Jeep Compass 2.0 Limited Plus BSIV,15.88 Lakh,"15,414 kms",Diesel,Manual,1st Owner,2019,1956 cc,5 Seats,"August 21, 2019"
24,Hyundai Grand i10 1.2 Kappa Magna BSIV,5.41 Lakh,"21,239 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,"September 23, 2018"
25,Maruti Alto K10 LXI,2.23 Lakh,"62,361 kms",Petrol,Manual,1st Owner,2014,998 cc,5 Seats,"September 04, 2014"
26,Hyundai Verna 1.6 VTVT S Option,5.88 Lakh,"79,329 kms",Petrol,Manual,2nd Owner,2015,1591 cc,5 Seats,"February 25, 2015"
27,Hyundai Tucson GLS AT,22.78 Lakh,"11,945 kms",Petrol,Automatic,1st Owner,2021,1999 cc,5 Seats,"May 28, 2021"
28,Maruti Swift Dzire VXI 1.2,6.12 Lakh,"51,324 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,"May 07, 2018"
29,Nissan Magnite XV Premium,7.44 Lakh,"5,717 kms",Petrol,Manual,1st Owner,2021,999 cc,5 Seats,"August 23, 2021"
30,Honda City i VTEC CVT VX,8.39 Lakh,"46,417 kms",Petrol,Automatic,1st Owner,2016,1497 cc,5 Seats,"June 22, 2016"
31,Honda Amaze S i-Vtech,4.20 Lakh,"1,00,161 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats,"October 08, 2015"
32,Hyundai Grand i10 Sportz,4.91 Lakh,"35,424 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats,"June 18, 2016"
33,Hyundai EON Era Plus,2.93 Lakh,"51,085 kms",Petrol,Manual,1st Owner,2017,814 cc,5 Seats,"July 14, 2017"
34,Maruti Alto 800 LXI,2.98 Lakh,"30,983 kms",Petrol,Manual,1st Owner,2016,796 cc,5 Seats,"January 26, 2016"
35,Renault KWID RXL,2.60 Lakh,"32,681 kms",Petrol,Manual,1st Owner,2016,799 cc,5 Seats,"May 20, 2016"
36,Hyundai EON Magna Plus,2.38 Lakh,"57,581 kms",Petrol,Manual,2nd Owner,2014,814 cc,5 Seats,"October 17, 2014"
37,Honda Jazz 1.2 V AT i VTEC,6.05 Lakh,"39,821 kms",Petrol,Automatic,1st Owner,2016,1199 cc,5 Seats,"March 20, 2016"
38,Maruti Alto 800 LXI,3.23 Lakh,"21,186 kms",Petrol,Manual,1st Owner,2018,796 cc,5 Seats,"February 01, 2018"
39,Renault KWID RXL,3.26 Lakh,"34,972 kms",Petrol,Manual,1st Owner,2018,799 cc,5 Seats,"November 17, 2018"
40,Honda Amaze S i-Vtech,4.21 Lakh,"46,623 kms",Petrol,Manual,2nd Owner,2015,1198 cc,5 Seats,"April 14, 2015"
41,Kia Seltos GTX Plus,15.53 Lakh,"18,557 kms",Petrol,Manual,1st Owner,2019,1353 cc,5 Seats,"December 17, 2019"
42,Jeep Compass 2.0 Limited,12.43 Lakh,"58,463 kms",Diesel,Manual,1st Owner,2017,1956 cc,5 Seats,"September 18, 2017"
43,MG Hector Plus Sharp DCT,18.50 Lakh,"5,000 kms",Petrol,Automatic,1st Owner,2020,1451 cc,6 Seats,"February 15, 2020"
44,Tata Harrier XZ BSIV,15.90 Lakh,"66,000 kms",Diesel,Manual,1st Owner,2019,1956 cc,5 Seats,"October 06, 2019"
45,Renault Duster Petrol RXS CVT,8.90 Lakh,"14,000 kms",Petrol,Automatic,1st Owner,2019,1498 cc,5 Seats,"October 16, 2019"
46,BMW 5 Series 520d Luxury Line,43 Lakh,"61,000 kms",Diesel,Automatic,1st Owner,2019,1995 cc,5 Seats,"August 02, 2019"
47,Hyundai i20 1.4 Magna Executive,6 Lakh,"65,392 kms",Diesel,Manual,1st Owner,2017,1396 cc,5 Seats,"October 12, 2017"
48,Mercedes-Benz CLA 200 CGI Sport,27 Lakh,"37,000 kms",Petrol,Automatic,1st Owner,2018,1991 cc,5 Seats,"May 18, 2018"
49,Maruti XL6 Zeta,10.90 Lakh,"9,000 kms",Petrol,Manual,1st Owner,2020,1462 cc,6 Seats,"February 16, 2020"
50,Hyundai Grand i10 1.2 Kappa Sportz Option AT,5.90 Lakh,"32,000 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats,"April 11, 2017"
51,Mahindra XUV500 W8 2WD,6.50 Lakh,"68,000 kms",Diesel,Manual,1st Owner,2012,2179 cc,7 Seats,"December 20, 2012"
52,Hyundai i20 Magna 1.2,6.75 Lakh,"13,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,"October 11, 2017"
53,Datsun RediGO AMT 1.0 T Option,3.70 Lakh,"30,000 kms",Petrol,Automatic,1st Owner,2020,999 cc,5 Seats,"April 11, 2020"
54,Honda Brio VX AT,5.25 Lakh,"34,300 kms",Petrol,Automatic,1st Owner,2015,1198 cc,5 Seats,"May 03, 2015"
55,Honda City i VTEC CVT SV,7.25 Lakh,"45,000 kms",Petrol,Automatic,1st Owner,2015,1497 cc,5 Seats,"March 07, 2015"
56,Toyota Corolla Altis GL MT,8.50 Lakh,"37,000 kms",Petrol,Manual,1st Owner,2014,1798 cc,5 Seats,"January 25, 2014"
57,Jeep Compass 1.4 Sport,14 Lakh,"50,000 kms",Petrol,Manual,1st Owner,2018,1368 cc,5 Seats,"May 03, 2018"
58,Volvo XC60 D4 Summum,15 Lakh,"1,05,241 kms",Diesel,Automatic,1st Owner,2015,1985 cc,5 Seats,"February 16, 2015"
59,Toyota Corolla Altis 1.8 G,13.90 Lakh,"54,000 kms",Petrol,Manual,1st Owner,2019,1798 cc,5 Seats,"November 25, 2019"
60,Hyundai Verna VTVT 1.6 SX,8.90 Lakh,"19,600 kms",Petrol,Manual,1st Owner,2019,1591 cc,5 Seats,"August 21, 2019"
61,Audi A4 2.0 TDI Technology Edition,16.90 Lakh,"48,000 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats,"October 09, 2015"
62,Audi Q3 2.0 TDI,13.90 Lakh,"69,500 kms",Diesel,Automatic,1st Owner,2012,1968 cc,5 Seats,"March 04, 2012"
63,BMW 5 Series 530d,15 Lakh,"71,000 kms",Diesel,Automatic,2nd Owner,2012,2993 cc,5 Seats,"January 13, 2012"
64,Porsche Cayenne S Diesel,45 Lakh,"48,894 kms",Diesel,Automatic,1st Owner,2014,4134 cc,5 Seats,"March 08, 2014"
65,Maruti A-Star Zxi,1.53 Lakh,"46,257 kms",Petrol,Manual,3rd Owner,2008,998 cc,5 Seats,"March 14, 2008"
66,Ford Ecosport 1.5 DV5 MT Titanium,5.09 Lakh,"78,264 kms",Diesel,Manual,2nd Owner,2015,1498 cc,5 Seats,"January 23, 2015"
67,Honda Jazz 1.2 S AT i VTEC,5.46 Lakh,"42,451 kms",Petrol,Automatic,1st Owner,2016,1199 cc,5 Seats,"October 01, 2016"
68,Volkswagen Vento Diesel Highline,2.73 Lakh,"1,31,861 kms",Diesel,Manual,2nd Owner,2012,1598 cc,5 Seats,"December 23, 2012"
69,Maruti Wagon R VXI BS IV,1.80 Lakh,"1,28,004 kms",Petrol,Manual,2nd Owner,2012,998 cc,5 Seats,"June 24, 2012"
70,Chevrolet Beat Diesel PS,1.10 Lakh,"1,50,349 kms",Diesel,Manual,1st Owner,2012,936 cc,5 Seats,"May 01, 2012"
71,Maruti Wagon R VXI BS IV,3.69 Lakh,"29,033 kms",Petrol,Manual,1st Owner,2017,998 cc,5 Seats,"November 25, 2017"
72,BMW 3 Series 320d Luxury Line,13.50 Lakh,"99,000 kms",Diesel,Automatic,1st Owner,2015,1995 cc,5 Seats,"March 04, 2015"
73,Renault KWID RXL,2.75 Lakh,"47,000 kms",Petrol,Manual,1st Owner,2018,799 cc,5 Seats,"November 22, 2018"
74,Maruti Baleno 1.3 Sigma,5.50 Lakh,"35,000 kms",Diesel,Manual,1st Owner,2018,1248 cc,5 Seats,"January 23, 2018"
75,Mercedes-Benz C-Class C 220 CDI BE COR,9.75 Lakh,"58,000 kms",Diesel,Automatic,1st Owner,2013,2143 cc,5 Seats,"April 12, 2013"
76,Honda City S,4 Lakh,"48,000 kms",Petrol,Manual,1st Owner,2012,1497 cc,5 Seats,"January 20, 2012"
77,Honda Amaze VX AT i-Vtech,4.75 Lakh,"45,000 kms",Petrol,Automatic,1st Owner,2014,1198 cc,5 Seats,"August 23, 2014"
78,Hyundai EON D Lite,1.90 Lakh,"60,000 kms",Petrol,Manual,2nd Owner,2012,814 cc,5 Seats,"June 09, 2012"
79,Hyundai i20 Magna Optional 1.2,4.65 Lakh,"23,000 kms",Petrol,Manual,1st Owner,2014,1197 cc,5 Seats,"November 17, 2014"
80,Hyundai Grand i10 1.2 Kappa Era,4.60 Lakh,"45,000 kms",Petrol,Manual,1st Owner,2019,1197 cc,5 Seats,"April 04, 2019"
81,Hyundai i10 Magna 1.1L,3.25 Lakh,"45,000 kms",Petrol,Manual,1st Owner,2014,1086 cc,5 Seats,"September 17, 2014"
82,Maruti Ertiga VDI,5.25 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2013,1248 cc,7 Seats,"November 22, 2013"
83,Hyundai i20 1.2 Spotz,6.25 Lakh,"48,000 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,"May 19, 2018"
84,BMW 2 Series 220i M Sport,40 Lakh,"18,000 kms",Petrol,Automatic,1st Owner,2021,1998 cc,5 Seats,"July 09, 2021"
85,Skoda Kushaq 1.0 TSI Style 6 Airbags AT,16.75 Lakh,"16,000 kms",Petrol,Automatic,1st Owner,2022,999 cc,5 Seats,"February 16, 2022"
86,Honda City i-VTEC VX,10 Lakh,"24,000 kms",Petrol,Manual,1st Owner,2019,1497 cc,5 Seats,"March 25, 2019"
87,MG Hector Plus Select Diesel MT 7 STR,17.90 Lakh,"36,000 kms",Diesel,Manual,1st Owner,2021,1956 cc,7 Seats,"December 23, 2021"
88,Jeep Compass 1.4 Limited Plus,13.90 Lakh,"35,000 kms",Petrol,Automatic,2nd Owner,2019,1368 cc,5 Seats,"May 12, 2019"
89,Honda Amaze E Petrol BSIV,6.10 Lakh,"64,000 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats,"May 11, 2019"
90,Maruti Vitara Brezza VDi,7.75 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats,"September 02, 2017"
91,Hyundai Grand i10 Magna,4.60 Lakh,"29,900 kms",Petrol,Manual,1st Owner,2015,1197 cc,5 Seats,"April 22, 2015"
92,Mahindra XUV700 AX5 Diesel AT,20.91 Lakh,"20,000 kms",Diesel,Automatic,1st Owner,2022,2198 cc,5 Seats,"November 13, 2022"
93,Tata Indigo VX BSIV,3.10 Lakh,"1,60,000 kms",Diesel,Manual,1st Owner,2013,1396 cc,5 Seats,"July 12, 2013"
94,Tata Tiago XZ Plus,5.65 Lakh,"16,000 kms",Petrol,Manual,1st Owner,2020,1199 cc,5 Seats,"December 15, 2020"
95,Honda WR-V i-VTEC VX,9 Lakh,"17,000 kms",Petrol,Manual,1st Owner,2019,1199 cc,5 Seats,"June 19, 2019"
96,Lexus NX 300h,42 Lakh,"1,11,000 kms",Petrol,Automatic,1st Owner,2018,2499 cc,5 Seats,"March 08, 2018"
97,Mercedes-Benz M-Class ML 250 CDI,28.50 Lakh,"38,000 kms",Diesel,Automatic,2nd Owner,2015,2143 cc,5 Seats,"February 25, 2015"
98,Honda Jazz 1.5 SV i DTEC,5.50 Lakh,"32,000 kms",Diesel,Manual,1st Owner,2015,1498 cc,5 Seats,"April 18, 2015"
99,Volkswagen Polo 1.2 MPI Comfortline,4.50 Lakh,"67,000 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats,"December 01, 2015"
100,Ford Ecosport 1.5 Petrol Titanium AT,6.75 Lakh,"50,000 kms",Petrol,Automatic,1st Owner,2016,1496 cc,5 Seats,"June 23, 2016"
101,Maruti Swift VDI BSIV,1.80 Lakh,"1,10,000 kms",Diesel,Manual,2nd Owner,2010,1248 cc,5 Seats,"June 04, 2010"
102,Hyundai Verna VTVT 1.6 AT EX,7.75 Lakh,"51,000 kms",Petrol,Automatic,1st Owner,2017,1591 cc,5 Seats,"November 02, 2017"
103,Hyundai Grand i10 1.2 CRDi Sportz,5.50 Lakh,"83,000 kms",Diesel,Manual,1st Owner,2017,1186 cc,5 Seats,"February 07, 2017"
104,Audi Q3 35 TDI Quattro Premium,24 Lakh,"38,000 kms",Diesel,Automatic,1st Owner,2016,1968 cc,5 Seats,"April 26, 2016"
105,Hyundai Creta 1.6 SX Automatic Diesel,13.25 Lakh,"58,000 kms",Diesel,Automatic,1st Owner,2018,1582 cc,5 Seats,"October 16, 2018"
106,Hyundai Creta 1.6 SX,11 Lakh,"36,000 kms",Petrol,Manual,1st Owner,2018,1591 cc,5 Seats,"February 13, 2018"
107,Volkswagen Vento 1.0 TSI Highline AT,10.50 Lakh,"23,500 kms",Petrol,Automatic,1st Owner,2020,999 cc,5 Seats,"September 20, 2020"
108,Hyundai i20 1.2 Magna Executive,6.50 Lakh,"60,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,"February 20, 2017"
109,Skoda Superb LK 1.8 TSI AT,25 Lakh,"18,000 kms",Petrol,Automatic,1st Owner,2018,1798 cc,5 Seats,"July 26, 2018"
110,Honda Amaze V Petrol BSIV,6 Lakh,"36,500 kms",Petrol,Manual,1st Owner,2017,1199 cc,5 Seats,"September 22, 2017"
111,Skoda Superb Sportline,31 Lakh,"25,000 kms",Petrol,Automatic,1st Owner,2021,1984 cc,5 Seats,"December 25, 2021"
112,Kia Seltos HTX IVT,15.75 Lakh,"20,500 kms",Petrol,Automatic,1st Owner,2020,1497 cc,5 Seats,"April 22, 2020"
113,Honda Amaze S i-Vtech,4.50 Lakh,"30,000 kms",Petrol,Manual,1st Owner,2015,1198 cc,5 Seats,"June 11, 2015"
114,Hyundai i20 Magna 1.2,5.90 Lakh,"59,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,"January 22, 2017"
115,BMW X1 sDrive 20d xLine,14.50 Lakh,"80,000 kms",Diesel,Automatic,1st Owner,2014,1995 cc,5 Seats,"June 17, 2014"
116,Hyundai Xcent 1.2 CRDi E Plus,3.80 Lakh,"50,000 kms",Diesel,Manual,2nd Owner,2017,1186 cc,5 Seats,"October 17, 2017"
117,Tata Harrier XZAS Plus Kaziranga Edition AT,21 Lakh,"32,000 kms",Diesel,Automatic,1st Owner,2021,1956 cc,5 Seats,"October 17, 2021"
118,Hyundai i10 Era 1.1 iTech SE,2.61 Lakh,"1,20,000 kms",Petrol,Manual,2nd Owner,2012,1086 cc,5 Seats,"September 27, 2012"
119,Land Rover Discovery 2.0 R-Dynamic HSE,1.10 Crore,"33,000 kms",Petrol,Automatic,1st Owner,2021,1997 cc,7 Seats,"August 07, 2021"
120,Mini 3 DOOR Cooper S,42 Lakh,"6,900 kms",Petrol,Automatic,1st Owner,2019,1998 cc,4 Seats,"July 27, 2019"
121,Tata Harrier XZA Plus Kaziranga Edition AT,22.50 Lakh,"4,500 kms",Diesel,Automatic,1st Owner,2022,1956 cc,5 Seats,"December 24, 2022"
122,Volvo S90 D4 Inscription BSIV,42 Lakh,"51,000 kms",Diesel,Automatic,1st Owner,2018,1969 cc,5 Seats,"October 17, 2018"
123,Kia Seltos GTX Plus AT D,19.75 Lakh,"12,000 kms",Diesel,Automatic,1st Owner,2022,1493 cc,5 Seats,"August 25, 2022"
124,Maruti Vitara Brezza ZDi Plus,9.50 Lakh,"37,000 kms",Diesel,Manual,1st Owner,2018,1248 cc,5 Seats,"June 25, 2018"
125,Hyundai Verna SX Opt Diesel,14.51 Lakh,"35,000 kms",Diesel,Manual,1st Owner,2021,1493 cc,5 Seats,"December 20, 2021"
126,Maruti Wagon R VXI Optional,3 Lakh,"80,000 kms",Petrol,Manual,2nd Owner,2016,998 cc,5 Seats,"February 16, 2016"
127,Hyundai Grand i10 Magna,4.60 Lakh,"60,000 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats,"August 02, 2016"
128,Honda Amaze VX CVT,9.15 Lakh,"10,000 kms",Petrol,Automatic,1st Owner,2022,1199 cc,5 Seats,"July 13, 2022"
129,Maruti Ignis Zeta AMT,5.50 Lakh,"59,385 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats,"March 06, 2019"
130,Jaguar XF 3.0 Litre S Premium Luxury,17 Lakh,"51,000 kms",Diesel,Automatic,2nd Owner,2012,2993 cc,5 Seats,"December 19, 2012"
131,Mahindra XUV500 AT W6 1.99 mHawk,9.90 Lakh,"74,000 kms",Diesel,Automatic,1st Owner,2017,1997 cc,7 Seats,"November 18, 2017"
132,Tata Nexon 1.2 Revotron XMA,8.51 Lakh,"29,000 kms",Petrol,Automatic,1st Owner,2020,1198 cc,5 Seats,"November 17, 2020"
133,Jeep Compass Model S 4X4 Diesel AT,27.50 Lakh,"12,200 kms",Diesel,Automatic,1st Owner,2021,1956 cc,5 Seats,"August 25, 2021"
134,Hyundai Grand i10 1.2 Kappa Sportz Option AT,5.50 Lakh,"40,000 kms",Petrol,Automatic,3rd Owner,2019,1197 cc,5 Seats,"August 18, 2019"
135,Hyundai Verna CRDi 1.6 SX,9.51 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2018,1582 cc,5 Seats,"August 14, 2018"
136,Toyota Innova Crysta 2.8 ZX AT BSIV,19.90 Lakh,"75,000 kms",Diesel,Automatic,2nd Owner,2019,2755 cc,7 Seats,"December 27, 2019"
137,Land Rover Discovery Sport TD4 HSE 7S,35.50 Lakh,"72,000 kms",Diesel,Automatic,1st Owner,2018,1999 cc,7 Seats,"March 13, 2018"
138,Ford Aspire 1.2 Ti-VCT Titanium,5.50 Lakh,"23,400 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats,"July 23, 2017"
139,Ford Aspire 1.2 Ti-VCT Ambiente,3.90 Lakh,"59,300 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats,"January 16, 2017"
140,Hyundai Creta 1.4 CRDi S,8.90 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2016,1396 cc,5 Seats,"July 06, 2016"
141,Maruti Swift Dzire LDI,4.51 Lakh,"67,000 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats,"October 23, 2017"
142,Honda Amaze S CVT i-VTEC,7.25 Lakh,"33,500 kms",Petrol,Automatic,1st Owner,2018,1199 cc,5 Seats,"February 28, 2018"
143,Hyundai Creta SX Executive,12.75 Lakh,"17,000 kms",Petrol,Manual,2nd Owner,2021,1497 cc,5 Seats,"July 14, 2021"
144,Volkswagen Ameo 1.5 TDI Highline AT,6.90 Lakh,"33,000 kms",Diesel,Automatic,1st Owner,2016,1498 cc,5 Seats,"June 27, 2016"
145,Volkswagen Polo GT TSI,6.75 Lakh,"49,000 kms",Petrol,Automatic,1st Owner,2015,1197 cc,5 Seats,"November 24, 2015"
146,Hyundai Grand i10 AT Asta,5.65 Lakh,"26,000 kms",Petrol,Automatic,1st Owner,2015,1197 cc,5 Seats,"December 15, 2015"
147,Hyundai Venue SX Opt iMT,10 Lakh,"14,500 kms",Petrol,Manual,1st Owner,2020,998 cc,5 Seats,"September 04, 2020"
148,Kia Seltos GTX Plus AT D,19.75 Lakh,"10,000 kms",Diesel,Automatic,1st Owner,2022,1493 cc,5 Seats,"September 15, 2022"
149,MG Hector Plus Sharp DCT,17 Lakh,"15,001 kms",Petrol,Automatic,1st Owner,2020,1451 cc,6 Seats,"May 05, 2020"
150,Skoda Octavia Elegance 1.8 TSI AT,9.75 Lakh,"55,000 kms",Petrol,Automatic,2nd Owner,2015,1798 cc,5 Seats,"October 26, 2015"
151,Toyota Corolla Altis G,6.50 Lakh,"38,000 kms",Petrol,Manual,1st Owner,2013,1798 cc,5 Seats,"July 20, 2013"
152,Ford Endeavour 4x4 XLT,4 Lakh,"1,10,000 kms",Diesel,Manual,2nd Owner,2005,2953 cc,7 Seats,"November 27, 2005"
153,Honda Amaze S AT i-Vtech,4.75 Lakh,"65,413 kms",Petrol,Automatic,1st Owner,2013,1198 cc,5 Seats,"July 15, 2013"
154,Honda Jazz Mode,2.80 Lakh,"45,000 kms",Petrol,Manual,2nd Owner,2009,1198 cc,5 Seats,"February 25, 2009"
155,Ford Figo 1.2P Trend MT,4.30 Lakh,"44,000 kms",Petrol,Manual,1st Owner,2017,1196 cc,5 Seats,"August 01, 2017"
156,Hyundai Grand i10 1.2 Kappa Magna BSIV,4.90 Lakh,"40,000 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,"March 18, 2017"
157,Ford Ecosport 1.5 Petrol Titanium AT,6.51 Lakh,"49,000 kms",Petrol,Automatic,1st Owner,2016,1496 cc,5 Seats,"February 19, 2016"
158,Mahindra Thar LX 4-Str Hard Top Diesel AT,17.51 Lakh,"19,000 kms",Diesel,Automatic,1st Owner,2022,2184 cc,4 Seats,"August 12, 2022"
159,Hyundai i20 Magna Optional 1.4 CRDi,3.91 Lakh,"56,000 kms",Diesel,Manual,2nd Owner,2013,1396 cc,5 Seats,"September 19, 2013"
160,Honda City 1.5 V MT,3.75 Lakh,"65,000 kms",Petrol,Manual,2nd Owner,2010,1497 cc,5 Seats,"December 17, 2010"
161,Toyota Etios G,4.90 Lakh,"27,680 kms",Petrol,Manual,1st Owner,2013,1496 cc,5 Seats,"April 15, 2013"
162,Kia Seltos GTX Plus AT D,18.25 Lakh,"27,305 kms",Diesel,Automatic,1st Owner,2021,1493 cc,5 Seats,"January 27, 2021"
163,BMW 3 Series 320d,33 Lakh,"10,793 kms",Diesel,Automatic,1st Owner,2019,1995 cc,5 Seats,"January 15, 2019"
164,BMW X3 xDrive 20d Luxury Line,56 Lakh,"12,000 kms",Diesel,Automatic,1st Owner,2020,1995 cc,5 Seats,"October 05, 2020"
165,MG Hector Sharp DCT,14.99 Lakh,"44,000 kms",Petrol,Automatic,1st Owner,2019,1451 cc,5 Seats,"July 13, 2019"
166,Kia Seltos HTK G,11.99 Lakh,"63,000 kms",Petrol,Manual,1st Owner,2020,1497 cc,5 Seats,"March 07, 2020"
167,Hyundai i20 Sportz Plus Diesel,6.50 Lakh,"87,000 kms",Diesel,Manual,1st Owner,2019,1396 cc,5 Seats,"September 28, 2019"
168,Maruti Alto LXi,1.90 Lakh,"61,000 kms",Petrol,Manual,1st Owner,2010,796 cc,5 Seats,"March 24, 2010"
169,Hyundai i20 Sportz Option 1.4 CRDi,6.25 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2016,1396 cc,5 Seats,"January 18, 2016"
170,Audi A4 2.0 TDI Multitronic,16.51 Lakh,"70,000 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats,"November 09, 2015"
171,Nissan Micra Diesel XV,2.25 Lakh,"58,000 kms",Diesel,Manual,2nd Owner,2012,1461 cc,5 Seats,"June 02, 2012"
172,Honda Jazz Active,1.30 Lakh,"90,000 kms",Petrol,Manual,3rd Owner,2009,1198 cc,5 Seats,"April 16, 2009"
173,Honda City VX MT,12.50 Lakh,"19,000 kms",Petrol,Manual,1st Owner,2022,1497 cc,5 Seats,"January 15, 2022"
174,Toyota Corolla Altis G AT,9.25 Lakh,"72,159 kms",Petrol,Automatic,1st Owner,2014,1798 cc,5 Seats,"March 21, 2014"
175,Ford Ecosport 1.5 DV5 MT Titanium,5.90 Lakh,"78,000 kms",Diesel,Manual,1st Owner,2015,1498 cc,5 Seats,"November 13, 2015"
176,Ford Ecosport 1.5 Diesel Titanium BSIV,6.90 Lakh,"58,000 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats,"May 25, 2018"
177,Ford Ecosport 1.5 Diesel Titanium Plus BSIV,8.90 Lakh,"72,000 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats,"April 20, 2018"
178,Land Rover Range Rover Evoque 2.0 TD4 SE,42.50 Lakh,"56,000 kms",Diesel,Automatic,1st Owner,2018,1999 cc,5 Seats,"January 27, 2018"
179,Nissan Micra Diesel XV,2.90 Lakh,"73,000 kms",Diesel,Manual,1st Owner,2012,1461 cc,5 Seats,"February 20, 2012"
